category,x_column,y_column,hue_column,group1_name,group2_name,n_group1,n_group2,test,alternative,effect_size_name,effect_size,ci_level,ci_low,ci_high,p_raw,p_adjust_method,p_adjusted
G70_alt_counts,generation,kGain_evolved_genome,essential,True,False,520,30570,Mann-Whitney U,greater,median_based_distance,0.30623826497220347,95,0.2772125118471996,0.35100924605872064,3.7211720320485795e-16,fdr_bh,3.7211720320485795e-16
G1410_alt_counts,generation,kGain_evolved_genome,essential,True,False,1054,31038,Mann-Whitney U,greater,median_based_distance,0.31439586159986305,95,0.24180297234958792,0.4385900181965796,1.693823813964364e-32,fdr_bh,1.0162942883786186e-31
G2640_alt_counts,generation,kGain_evolved_genome,essential,True,False,1310,35423,Mann-Whitney U,greater,median_based_distance,0.36529203146240274,95,0.27747971838225405,0.49279433786410476,1.3870125562408165e-24,fdr_bh,2.080518834361225e-24
G5150_alt_counts,generation,kGain_evolved_genome,essential,True,False,1925,35544,Mann-Whitney U,greater,median_based_distance,0.29705657198281754,95,0.22512030184408208,0.3760885093791896,1.5231886353000454e-28,fdr_bh,4.569565905900136e-28
G7530_alt_counts,generation,kGain_evolved_genome,essential,True,False,2271,39244,Mann-Whitney U,greater,median_based_distance,0.28851334709288573,95,0.2050778736253971,0.38799594405369353,6.815807253755195e-23,fdr_bh,8.178968704506233e-23
G10150_alt_counts,generation,kGain_evolved_genome,essential,True,False,2581,37651,Mann-Whitney U,greater,median_based_distance,0.2974887183510194,95,0.204409157755007,0.3586081762693778,1.0402979942675029e-27,fdr_bh,2.0805959885350057e-27
