category,x_column,y_column,hue_column,group1_name,group2_name,n_group1,n_group2,test,alternative,effect_size_name,effect_size,ci_level,ci_low,ci_high,p_raw,p_adjust_method,p_adjusted
fixed_by_70,Mutation_Type,kGain_evolved_genome,Fixed,True,False,86,24676,Mann-Whitney U,greater,median_based_distance,0.10893223630639427,95,-0.18893476550948218,0.3165447910349651,0.1727981411502622,fdr_bh,0.1727981411502622
fixed_by_1410,Mutation_Type,kGain_evolved_genome,Fixed,True,False,1375,23416,Mann-Whitney U,greater,median_based_distance,0.1189747053008552,95,0.03096784313180363,0.18903949035520123,0.05322807511393523,fdr_bh,0.06387369013672227
fixed_by_2640,Mutation_Type,kGain_evolved_genome,Fixed,True,False,3955,20851,Mann-Whitney U,greater,median_based_distance,0.09492726456782083,95,0.03764865546371116,0.14912270184396106,0.004705625919335306,fdr_bh,0.00705843887900296
fixed_by_5150,Mutation_Type,kGain_evolved_genome,Fixed,True,False,7825,17018,Mann-Whitney U,greater,median_based_distance,0.08530766303267898,95,0.035283344430050184,0.13534493246029297,0.003247932401153011,fdr_bh,0.006495864802306022
fixed_by_7530,Mutation_Type,kGain_evolved_genome,Fixed,True,False,11400,13468,Mann-Whitney U,greater,median_based_distance,0.06004784580231546,95,0.015140125710297377,0.10431087563055488,0.0027225846419392154,fdr_bh,0.006495864802306022
fixed_by_10150,Mutation_Type,kGain_evolved_genome,Fixed,True,False,15446,9427,Mann-Whitney U,greater,median_based_distance,0.060750323369512846,95,0.008414971325789966,0.10571461524977027,0.0010321628848656594,fdr_bh,0.006192977309193957
