Epoch,loss,val_loss,Train_loss_mae,Val_loss_mae,Train_loss_mse,Val_loss_mse
0,287.37347412109375,215.5498809814453,4.484238624572754,4.025313854217529,31.627044677734375,25.63364028930664
1,242.89012145996094,220.08242797851562,4.230882167816162,4.0823235511779785,28.19072723388672,26.257387161254883
2,241.2524871826172,215.51364135742188,4.219829559326172,4.04091215133667,28.04029083251953,25.76587677001953
3,240.68087768554688,220.6676788330078,4.217002868652344,4.087549209594727,28.008949279785156,26.3201904296875
4,240.56871032714844,214.8782501220703,4.216672897338867,4.037179946899414,28.011144638061523,25.720478057861328
5,240.02842712402344,215.7891082763672,4.213496208190918,4.049491882324219,27.9488582611084,25.85801887512207
6,238.58580017089844,208.3795623779297,4.205925941467285,3.996304750442505,27.86240577697754,25.220613479614258
7,234.73428344726562,196.26536560058594,4.1836066246032715,3.9164516925811768,27.564374923706055,24.23897933959961
8,231.12586975097656,190.60333251953125,4.158944129943848,3.8685860633850098,27.27023696899414,23.72022247314453
9,228.3184814453125,189.71578979492188,4.124921798706055,3.8655736446380615,26.947694778442383,23.66311264038086
10,228.41812133789062,186.3839874267578,4.125422477722168,3.8094534873962402,26.956165313720703,23.181184768676758
11,226.67010498046875,187.7042236328125,4.114523887634277,3.837949514389038,26.802940368652344,23.423816680908203
12,226.15476989746094,186.35028076171875,4.113325595855713,3.8188729286193848,26.778501510620117,23.241897583007812
13,225.330078125,186.5083465576172,4.10674524307251,3.826080083847046,26.706283569335938,23.290321350097656
14,224.0376739501953,186.00286865234375,4.099764823913574,3.819369077682495,26.617813110351562,23.26694679260254
15,221.91770935058594,183.46893310546875,4.083456039428711,3.8029158115386963,26.444128036499023,23.04705047607422
16,218.64077758789062,182.46038818359375,4.070197582244873,3.801231622695923,26.216524124145508,22.996206283569336
17,216.98143005371094,181.06480407714844,4.053874492645264,3.7858288288116455,26.04667091369629,22.828096389770508
18,215.31495666503906,177.3188934326172,4.042300224304199,3.7650928497314453,25.896953582763672,22.5413761138916
19,212.55165100097656,179.42425537109375,4.021945953369141,3.7683846950531006,25.655288696289062,22.6997127532959
